Categoría,Marca,Franquicia,MLA,Full Price,Final Price,Markdown %,Cuotas,Talles,URL,Fecha,Nombre Producto
FUTBOL,Adidas,CLUB,2378658364,$ 99.999,$ 99.999,0.0%,3,1,https://articulo.mercadolibre.com.ar/MLA-2378658364-botines-adidas-futbol-predator-club-pasto-unisex-jr7035-_JM?searchVariation=190956423271#polycard_client=search-desktop&searchVariation=190956423271&search_layout=grid&position=17&type=item&tracking_id=ad60f464-1e2d-4909-8b70-454ec4edaa3b,2026-03-13,Botines adidas Fútbol Predator Club Pasto Unisex Jr7035
FUTBOL,Adidas,LEAGUE,2378592778,$ 119.999,$ 119.999,0.0%,3,1,https://articulo.mercadolibre.com.ar/MLA-2378592778-botines-adidas-futbol-f50-messi-league-ninos-azul-jp7455-_JM?searchVariation=185575357002#polycard_client=search-desktop&searchVariation=185575357002&search_layout=grid&position=27&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines adidas Fútbol F50 Messi League Niños Azul Jp7455
FUTBOL,Adidas,LEAGUE,1508159555,$ 149.999,$ 91.192,39.2%,3,,https://articulo.mercadolibre.com.ar/MLA-1508159555-botines-predator-league-terreno-firmemultiterreno-ji1117-ad-_JM?searchVariation=184127091808#polycard_client=search-desktop&searchVariation=184127091808&search_layout=grid&position=2&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines Predator League Terreno Firme/multiterreno Ji1117 Ad
FUTBOL,Adidas,LEAGUE,1508133931,$ 149.999,$ 104.999,30.0%,3,5,https://articulo.mercadolibre.com.ar/MLA-1508133931-botines-predator-league-de-pasto-sintetico-ji1132-adidas-_JM?searchVariation=184127131088#polycard_client=search-desktop&searchVariation=184127131088&search_layout=grid&position=3&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines Predator League De Pasto Sintético Ji1132 adidas
FUTBOL,Adidas,LEAGUE,1508068933,$ 109.999,$ 74.304,32.5%,3,2,https://articulo.mercadolibre.com.ar/MLA-1508068933-botines-predator-league-multiterrenoterreno-firme-ninos-ji1-_JM?searchVariation=184127079122#polycard_client=search-desktop&searchVariation=184127079122&search_layout=grid&position=4&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines Predator League Multiterreno/terreno Firme Niños Ji1
FUTBOL,Adidas,LEAGUE,1538244193,$ 149.999,$ 149.999,0.0%,3,9,https://articulo.mercadolibre.com.ar/MLA-1538244193-botines-adidas-futbol-f50-league-multiterreno-unisex-ji0004-_JM?searchVariation=185575371058#polycard_client=search-desktop&searchVariation=185575371058&search_layout=grid&position=9&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines adidas Fútbol F50 League Multiterreno Unisex Ji0004
FUTBOL,Adidas,LEAGUE,1508069045,$ 159.999,$ 159.999,0.0%,3,4,https://articulo.mercadolibre.com.ar/MLA-1508069045-botines-predator-league-de-pasto-sintetico-ji1133-adidas-_JM?searchVariation=184127079502#polycard_client=search-desktop&searchVariation=184127079502&search_layout=grid&position=11&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines Predator League De Pasto Sintético Ji1133 adidas
FUTBOL,Adidas,PRO,1508055833,$ 249.999,$ 174.999,30.0%,3,,https://articulo.mercadolibre.com.ar/MLA-1508055833-botines-f50-pro-terreno-firme-jh7683-adidas-_JM?searchVariation=184127207948#polycard_client=search-desktop&searchVariation=184127207948&search_layout=grid&position=1&type=item&tracking_id=fe9690a5-76cf-4d2e-a4c2-fffe4772bf08,2026-03-13,Botines F50 Pro Terreno Firme Jh7683 adidas
FUTBOL,Adidas,LEAGUE,1508055831,$ 159.999,$ 159.999,0.0%,3,6,https://articulo.mercadolibre.com.ar/MLA-1508055831-botines-f50-league-para-cesped-artificial-jh7725-adidas-_JM?searchVariation=184127207886#polycard_client=search-desktop&searchVariation=184127207886&search_layout=grid&position=13&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines F50 League Para Césped Artificial Jh7725 adidas
FUTBOL,Adidas,LEAGUE,2378658372,$ 149.999,$ 149.999,0.0%,3,11,https://articulo.mercadolibre.com.ar/MLA-2378658372-botines-f50-league-para-pasto-sintetico-jh7723-adidas-_JM?searchVariation=190956423361#polycard_client=search-desktop&searchVariation=190956423361&search_layout=grid&position=14&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines F50 League Para Pasto Sintético Jh7723 adidas
FUTBOL,Adidas,LEAGUE,1508159417,$ 109.999,$ 74.304,32.5%,3,3,https://articulo.mercadolibre.com.ar/MLA-1508159417-botines-f50-sparkfusion-league-terreno-firmepasto-sintetico-_JM?searchVariation=184127091536#polycard_client=search-desktop&searchVariation=184127091536&search_layout=grid&position=15&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines F50 Sparkfusion League Terreno Firme/pasto Sintético
FUTBOL,Adidas,LEAGUE,2378710078,$ 149.999,$ 149.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-2378710078-botines-adidas-futbol-predator-league-unisex-naranja-ji1115-_JM?searchVariation=190956362295#polycard_client=search-desktop&searchVariation=190956362295&search_layout=grid&position=16&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines adidas Fútbol Predator League Unisex Naranja Ji1115
